gene,id,z
CTXN3,9927,-10.449807
GPX3,1125,-9.749367
CBLN2,8927,-9.272391
SLC22A18,1908,-9.111991
LGALS1,1534,-9.084251
COL5A2,550,-9.06461
LCP2,1528,-8.963547
CRYBA2,597,-8.875474
TESPA1,3843,-8.873945
GPR26,1113,-8.832612
LYPD8,9959,-8.565086
ASGR2,192,-8.544025
POPDC3,7034,-8.495384
FREM3,9149,-8.48438
TPBG,2876,-8.385033
NETO2,7685,-7.906818
ONECUT2,3656,-7.844834
TCERG1L,9437,-7.821126
TMEM150C,9887,-7.687355
KLHL29,8450,-7.672284
ARHGAP25,3897,-7.552935
LAMA2,1512,-7.513502
VSTM2L,8703,-7.501023
AHNAK2,8396,-7.461413
GAL,5586,-7.376799
CDT1,7671,-7.350539
TM6SF1,5858,-7.291496
PHLDA2,2908,-7.260676
NTN4,6922,-7.22184
CA10,6595,-7.210533
WNT10A,7577,-7.192405
DENND2D,7476,-7.176134
MYO1B,1703,-7.164046
SATB1,2507,-7.126034
WFDC1,6887,-7.100498
ACTC1,30,-7.091964
LGI2,6205,-7.062841
CAMK1G,6674,-7.054862
ZIC1,3016,-7.006325
GALNTL5,9161,-6.971956
SGTB,5964,-6.959018
MAPK4,2185,-6.940875
TIGAR,6647,-6.904528
PDK3,1985,-6.896587
BEND5,7344,-6.869497
HTR1E,1312,-6.868549
MUCL1,8554,-6.856839
MYO5B,1756,-6.821329
HR,6442,-6.786511
HSPB3,3443,-6.782477
DUSP3,755,-6.764128
NECTIN3,5097,-6.699946
SPRY4,7690,-6.674415
GPR20,1109,-6.666764
HDAC9,3791,-6.606407
CARTPT,3721,-6.587118
NAP1L5,9463,-6.533083
NEDD9,1800,-6.486777
NUDT22,7892,-6.467363
PRKCB,2169,-6.450639
TMEM65,9063,-6.446243
MUM1L1,8826,-6.403978
KCNN2,1474,-6.399779
DUSP6,757,-6.363616
ARHGDIG,179,-6.362026
OR14I1,9853,-6.331578
C2orf27A,5439,-6.331268
DIRAS1,8945,-6.328451
SLCO4A1,5364,-6.315428
ASB2,5819,-6.30443
OSBPL3,5138,-6.28111
TNNT2,2868,-6.248162
SPHK2,6566,-6.237355
TCIM,6575,-6.231993
YBX2,5589,-6.23058
GULP1,5750,-6.198304
PLCH1,4669,-6.147679
BAD,247,-6.140452
RPH3AL,3666,-6.099209
INF2,7074,-6.080904
GAP43,1018,-6.076495
BAIAP2L2,7509,-6.070894
NEUROD6,6995,-6.060074
TFPT,5443,-6.037254
LYNX1,7199,-6.027314
TEX29,8590,-6.012353
LBH,7664,-6.012337
GRB14,1128,-6.00528
ZBBX,7382,-5.988922
CD6,402,-5.980773
OPN3,4960,-5.976943
HAPLN4,9860,-5.969532
CLEC2L,9052,-5.963894
HSPB8,5215,-5.943017
SKAP1,3291,-5.935653
RTP1,8763,-5.920902
HES4,6876,-5.912644
ERICH1,9069,-5.905283
PRRX1,2090,-5.901906
WNT6,3000,-5.90129
TPGS2,5095,-5.880854
ADCYAP1,55,-5.87682
ANO3,6997,-5.828396
SNX10,5449,-5.820701
CLCN5,518,-5.820564
SLC6A12,2593,-5.812776
OLFM3,8552,-5.78735
P2RX6,3499,-5.76848
RILP,7720,-5.76011
ADRA1D,66,-5.756156
KCNA5,1445,-5.750923
CMAHP,3195,-5.667223
SPON2,4135,-5.657153
CAPN12,8937,-5.627563
KRT222,8645,-5.621387
C2orf40,7912,-5.554398
NAT8L,9633,-5.548708
ENOX1,6134,-5.527776
FAM19A5,5042,-5.525248
ASGR1,191,-5.515523
XYLT1,7022,-5.513651
MYBL1,1737,-5.461883
NEK2,1806,-5.453251
LDLR,1531,-5.453182
FAM43B,9135,-5.446288
CAST,367,-5.434069
MOB3B,7415,-5.422603
RDH12,8890,-5.381377
NT5DC2,7145,-5.372836
FOXF2,945,-5.363705
OVOL2,6904,-5.361304
AQP9,160,-5.313618
CHRNA4,501,-5.284198
NLK,5825,-5.28309
PLCB1,4780,-5.276926
SERPINI1,2033,-5.272894
HCN1,9692,-5.265758
SYCE1,8339,-5.257427
CHMP4A,5404,-5.253812
CHST8,7058,-5.2537
NUDT14,9430,-5.251672
OSTF1,5234,-5.250067
ANKRD34C,9812,-5.235222
QPCT,5031,-5.233798
STARD4,8788,-5.207668
RPH3A,4620,-5.20315
SYNM,4836,-5.202688
DPYS,736,-5.194674
TEX30,8327,-5.160534
TESC,6100,-5.121485
PCDH8,1949,-5.120425
MEIS3P1,1648,-5.118105
KLF12,4540,-5.116724
SH2D5,9834,-5.113822
CAMKK2,4266,-5.108427
PEX5L,5777,-5.107224
GSG1,7705,-5.106506
PDE10A,4339,-5.097962
NMU,4353,-5.089714
HACL1,5158,-5.073661
RASGRF1,2348,-5.067634
NRP1,3376,-5.062402
PRPS2,2206,-5.06053
KIF17,6794,-5.034143
RABIF,2318,-5.027802
P2RY14,3894,-5.024145
MGLL,4561,-5.017666
C12orf49,7407,-5.009082
DGKE,3245,-4.989161
CNTNAP2,5148,-4.982325
PCDH10,6793,-4.959696
BHLHE40,3256,-4.932231
NGB,6886,-4.931805
LINC01140,9626,-4.927742
PLCL1,2063,-4.925431
LIG4,1541,-4.920596
SPRY1,4064,-4.920125
GPR143,1886,-4.911003
HTATIP2,4210,-4.901645
PHF23,7267,-4.893545
CD53,419,-4.892329
MEPE,6608,-4.889708
KRT31,1506,-4.886398
PLXDC1,6654,-4.878637
LRRC14,3767,-4.856261
SERPINI2,2034,-4.841708
HDC,1214,-4.831366
CCDC25,6230,-4.799047
TTPAL,7285,-4.794036
TNFRSF14,3347,-4.792882
NDST3,3591,-4.792749
C12orf29,8230,-4.784236
LSAMP,1570,-4.780695
ZNF124,3039,-4.761302
LYPD6,8739,-4.755282
CCDC184,9761,-4.752327
PPP1R12A,1761,-4.742962
KCNA2,1442,-4.734771
HPSE2,6954,-4.733255
TAF13,2752,-4.715166
PDE1C,1963,-4.711083
PRUNE2,9080,-4.706968
PPM1A,2126,-4.701945
RERG,8079,-4.698299
CCNYL1,8996,-4.698165
CPT1A,581,-4.69663
PDZD11,5664,-4.689711
PDCL3,7226,-4.688445
TBRG1,8031,-4.68291
PCDHB9,6514,-4.667694
HOMER3,3638,-4.667042
SLC12A2,2603,-4.666758
CCDC68,7574,-4.6579
CRH,588,-4.651799
CEP126,6787,-4.651546
ASB6,8834,-4.648671
ARG2,167,-4.636441
PCP4,1957,-4.622594
MFGE8,1661,-4.622087
SLC39A10,6679,-4.617255
CCDC39,9630,-4.613907
PIP5K1C,4865,-4.599049
AGBL5,6955,-4.594608
PAQR8,8093,-4.590291
CPNE8,8882,-4.578617
E2F1,763,-4.57758
NUDT4,4488,-4.5762
ABCC12,8365,-4.564993
BAIAP3,3428,-4.558066
SLC35A4,8415,-4.556046
COL11A1,558,-4.54922
MADCAM1,3141,-4.543959
CCDC85A,8444,-4.534536
LYN,1581,-4.529056
RBP1,2359,-4.524559
PAH,1928,-4.523769
SCRG1,4559,-4.52289
TGFBI,2812,-4.511797
RIMS1,4665,-4.504506
MBD3,5866,-4.503009
MED31,5553,-4.499088
SC5D,2510,-4.482438
STK17A,3555,-4.466355
JAM2,6903,-4.463888
STAC2,9658,-4.463334
PCDH20,7135,-4.461948
KLK7,2214,-4.454834
MYOM2,3516,-4.453609
CHL1,4304,-4.435487
POU6F1,2113,-4.434755
ADAMTS3,3668,-4.428154
RAP2A,2337,-4.424991
ZNF684,8682,-4.422361
PPEF1,2119,-4.402716
KCNB2,3571,-4.389965
CDK2AP1,3132,-4.375823
HIGD1B,5839,-4.370415
MAFF,5005,-4.365761
PIK3CD,2042,-4.364634
KCNA3,1443,-4.363364
GTDC1,7371,-4.36259
ATG7,4200,-4.355501
PRR5,6345,-4.355232
NSRP1,7810,-4.337604
CIB1,4193,-4.33703
ST8SIA5,5459,-4.335698
LAMA1,9515,-4.335323
RBP4,2360,-4.326404
VAT1,4180,-4.326054
CHCHD4,8756,-4.320679
CHI3L1,488,-4.320068
WDR86,9693,-4.307343
RTN2,2488,-4.299929
SORL1,2653,-4.293726
CCDC78,8624,-4.282793
CDH22,7063,-4.280036
GNLY,4227,-4.276201
EIF5A2,6552,-4.274144
CEP63,7553,-4.269404
RPP25L,8824,-4.232721
SNORC,9795,-4.232283
SLC25A46,8224,-4.228277
SHMT2,2563,-4.221672
NECAB1,7030,-4.211071
CKMT2,509,-4.204284
KCNJ14,1466,-4.200408
STAT4,2705,-4.196679
COL24A1,9420,-4.192639
GLRA3,3118,-4.18533
AKAP12,3715,-4.17771
DACH1,656,-4.175471
CCNI,4410,-4.175092
KCNJ12,1465,-4.168186
AMIGO2,9684,-4.166653
EHBP1,4814,-4.148501
ASAP1,5534,-4.138064
MAPK13,2191,-4.132019
RHOJ,6712,-4.117422
GABRA1,993,-4.116205
RGS4,2388,-4.115376
PCDHB10,6513,-4.114576
DYNC1LI1,5622,-4.110072
CAB39,5831,-4.106638
FNDC4,7121,-4.103063
MKLN1,1673,-4.100032
RABEPK,4061,-4.097928
MRM3,6192,-4.095682
KCNH5,5295,-4.090794
NEFH,1802,-4.088593
NR4A3,3119,-4.086955
GABRB2,999,-4.08613
KCNC2,1448,-4.085875
CAPS2,7978,-4.085824
RNF157,8447,-4.083828
ACHE,21,-4.083767
RIN2,5917,-4.075954
MXRA7,9874,-4.074825
EPB41L3,4727,-4.072955
THEMIS2,3651,-4.071141
PITPNC1,5191,-4.067645
MED11,9832,-4.065677
UBXN10,8688,-4.06253
SCN8A,2520,-4.053246
MRPL12,2448,-4.052945
BCAT1,257,-4.052564
WNT7A,3001,-4.0501
FEM1C,6594,-4.047956
EGFL7,5630,-4.039898
SUSD4,6130,-4.035753
SCARA5,9586,-4.032623
KIAA1958,9078,-4.030193
WTIP,8659,-4.029295
APOL2,5009,-4.029064
MAP9,7443,-4.029059
BRI3BP,8846,-4.022793
DUSP19,8861,-4.021701
MCHR2,7944,-4.01938
YAE1D1,6627,-4.010824
PAPD4,9151,-4.008086
ILK,1376,-4.001397
RALB,2328,-4.001104
ASS1,197,-4.000176
VIT,2009,-3.999821
NR3C1,1147,-3.99802
CDS1,462,-3.99708
FBLN7,8723,-3.995469
NEFM,1801,-3.992127
ACTA1,28,-3.991045
C6orf62,7679,-3.984206
SDSL,8412,-3.983644
CACNG6,6925,-3.981613
CREB3L3,7979,-3.971206
ENKUR,9300,-3.970741
FZD6,3177,-3.968163
ARHGEF16,5315,-3.96521
TTLL12,4744,-3.961275
KCTD9,6007,-3.960963
CNIH2,9399,-3.960959
TPK1,5255,-3.959036
RNFT2,8034,-3.958368
CD248,6653,-3.956961
BAG2,3685,-3.95465
PPP1R3C,2133,-3.953748
SLC36A1,9287,-3.950331
DDIT3,682,-3.949379
FKBP1B,940,-3.949197
TOX4,3866,-3.940135
C3orf70,9559,-3.937428
CPXM2,8572,-3.933968
KANK3,9441,-3.93273
TUBB4B,4118,-3.932518
OSTN,9669,-3.930672
STK26,5846,-3.926608
TSPAN33,9639,-3.925787
ITGB1BP1,3559,-3.923186
TIMP4,2834,-3.920032
PLCB4,2061,-3.919528
ZNF385D,7388,-3.913716
SUSD5,5139,-3.911904
SLC12A7,4292,-3.909043
LGI3,9272,-3.906469
NCALD,7791,-3.905044
HAUS7,6325,-3.903544
VPS18,6816,-3.899904
FUT9,4285,-3.898899
DBNDD1,7218,-3.894445
DNAJC22,7477,-3.890151
FBXL2,5048,-3.8885
GRK3,73,-3.883835
CHCHD6,7891,-3.880492
CACNB2,343,-3.879139
NXPH1,5502,-3.874704
HCN4,3935,-3.873797
PREX2,7552,-3.87032
WAC,5700,-3.86908
STK39,5354,-3.8688
ARC,4781,-3.868024
IGSF3,1303,-3.863823
TRMT61A,8488,-3.860812
MEDAG,8051,-3.860693
GNB1,1081,-3.858569
GRM3,1151,-3.857333
SHROOM3,6817,-3.856794
ACTN4,33,-3.847612
KCNQ5,6545,-3.84559
UGP2,2951,-3.84482
ETS1,867,-3.834397
AVEN,6644,-3.83423
KDM3A,6450,-3.831102
ERBB4,856,-3.830831
LRRC2,7293,-3.822914
UBE2F,8851,-3.821237
OLFM4,4217,-3.818725
CCNDBP1,4952,-3.818459
AKR1C1,680,-3.816103
ACACA,13,-3.806909
RIT2,2395,-3.80276
EPAS1,835,-3.801546
COL4A4,547,-3.786007
